Node Number	X Location (m)	Y Location (m)	Z Location (m)	
557	0,79129	0,13444	-6,8001e-002	
558	0,7416	0,13526	-6,8001e-002	
559	0,6919	0,13607	-6,8001e-002	
560	0,64221	0,13689	-6,8001e-002	
561	0,59252	0,13771	-6,8001e-002	
562	0,54282	0,13852	-6,8001e-002	
563	0,49313	0,13934	-6,8001e-002	
564	0,44343	0,14015	-6,8001e-002	
565	0,39374	0,14097	-6,8001e-002	
566	0,34405	0,14179	-6,8001e-002	
567	0,29435	0,1426	-6,8001e-002	
568	0,24466	0,14342	-6,8001e-002	
569	0,19502	0,14072	-7,6487e-002	
571	1,0584	-2,4574e-002	-8,0001e-002	
572	1,01	-2,5368e-002	-8,0001e-002	
573	0,96168	-2,6162e-002	-8,0001e-002	
574	0,91332	-2,6957e-002	-8,0001e-002	
575	0,86496	-2,7751e-002	-8,0001e-002	
576	0,81659	-2,8546e-002	-8,0001e-002	
577	0,76823	-2,934e-002	-8,0001e-002	
578	0,71987	-3,0135e-002	-8,0001e-002	
579	0,67151	-3,0929e-002	-8,0001e-002	
580	0,62315	-3,1724e-002	-8,0001e-002	
581	0,57478	-3,2518e-002	-8,0001e-002	
594	1,0282	0,11855	-8,0001e-002	
595	0,97915	0,11935	-8,0001e-002	
596	0,93014	0,12016	-8,0001e-002	
597	0,88113	0,12096	-8,0001e-002	
598	0,83212	0,12177	-8,0001e-002	
599	0,78311	0,12257	-8,0001e-002	
600	0,7341	0,12338	-8,0001e-002	
601	0,68509	0,12418	-8,0001e-002	
602	0,63608	0,12499	-8,0001e-002	
603	0,58707	0,12579	-8,0001e-002	
604	0,53806	0,1266	-8,0001e-002	
605	0,48905	0,1274	-8,0001e-002	
606	0,44005	0,12821	-8,0001e-002	
607	0,39104	0,12901	-8,0001e-002	
608	0,34203	0,12982	-8,0001e-002	
609	0,29302	0,13062	-8,0001e-002	
610	0,24401	0,13143	-8,0001e-002	
611	2,5817	4,4933e-004	-8,0001e-002	
612	2,5333	-3,446e-004	-8,0001e-002	
613	2,485	-1,1385e-003	-8,0001e-002	
614	2,4367	-1,9325e-003	-8,0001e-002	
615	2,3883	-2,7264e-003	-8,0001e-002	
616	2,34	-3,5203e-003	-8,0001e-002	
617	2,2917	-4,3143e-003	-8,0001e-002	
618	2,2434	-5,1082e-003	-8,0001e-002	
619	2,195	-5,9021e-003	-8,0001e-002	
620	2,1467	-6,6961e-003	-8,0001e-002	
621	2,0984	-7,49e-003	-8,0001e-002	
622	2,05	-8,2839e-003	-8,0001e-002	
623	2,0017	-9,0779e-003	-8,0001e-002	
624	1,9534	-9,8718e-003	-8,0001e-002	
625	1,905	-1,0666e-002	-8,0001e-002	
626	1,8567	-1,146e-002	-8,0001e-002	
627	1,8084	-1,2254e-002	-8,0001e-002	
628	1,76	-1,3048e-002	-8,0001e-002	
629	1,7117	-1,3841e-002	-8,0001e-002	
630	1,6634	-1,4635e-002	-8,0001e-002	
631	1,6151	-1,5429e-002	-8,0001e-002	
632	1,5667	-1,6223e-002	-8,0001e-002	
633	1,5184	-1,7017e-002	-8,0001e-002	
634	1,4701	-1,7811e-002	-8,0001e-002	
635	1,4217	-1,8605e-002	-8,0001e-002	
636	1,3734	-1,9399e-002	-8,0001e-002	
637	1,3251	-2,0193e-002	-8,0001e-002	
638	2,5802	9,3052e-002	-8,0001e-002	
639	2,5304	9,387e-002	-8,0001e-002	
640	2,4806	9,4688e-002	-8,0001e-002	
641	2,4308	9,5506e-002	-8,0001e-002	
642	2,381	9,6324e-002	-8,0001e-002	
643	2,3312	9,7142e-002	-8,0001e-002	
644	2,2814	9,796e-002	-8,0001e-002	
645	2,2317	9,8778e-002	-8,0001e-002	
646	2,1819	9,9596e-002	-8,0001e-002	
647	2,1321	0,10041	-8,0001e-002	
648	2,0823	0,10123	-8,0001e-002	
649	2,0325	0,10205	-8,0001e-002	
650	1,9827	0,10287	-8,0001e-002	
651	1,9329	0,10369	-8,0001e-002	
652	1,8831	0,1045	-8,0001e-002	
653	1,8333	0,10532	-8,0001e-002	
654	1,7835	0,10614	-8,0001e-002	
655	1,7337	0,10696	-8,0001e-002	
656	1,6839	0,10778	-8,0001e-002	
657	1,6341	0,10859	-8,0001e-002	
658	1,5843	0,10941	-8,0001e-002	
659	1,5346	0,11023	-8,0001e-002	
660	1,4848	0,11105	-8,0001e-002	
661	1,435	0,11186	-8,0001e-002	
662	1,3852	0,11268	-8,0001e-002	
663	0,19502	-4,7243e-002	-7,6487e-002	
664	2,5845	-1,1506e-002	-6,8001e-002	
665	2,5306	-1,2392e-002	-6,8001e-002	
666	2,4809	-1,3208e-002	-6,8001e-002	
667	2,4312	-1,4024e-002	-6,8001e-002	
668	2,3815	-1,4841e-002	-6,8001e-002	
669	2,3318	-1,5657e-002	-6,8001e-002	
670	2,2821	-1,6473e-002	-6,8001e-002	
671	2,2324	-1,729e-002	-6,8001e-002	
672	2,1827	-1,8106e-002	-6,8001e-002	
673	2,133	-1,8922e-002	-6,8001e-002	
674	2,0833	-1,9739e-002	-6,8001e-002	
675	2,0336	-2,0555e-002	-6,8001e-002	
676	1,9839	-2,1371e-002	-6,8001e-002	
677	1,9343	-2,2188e-002	-6,8001e-002	
678	1,8846	-2,3004e-002	-6,8001e-002	
679	1,8349	-2,382e-002	-6,8001e-002	
680	1,7852	-2,4636e-002	-6,8001e-002	
681	1,7355	-2,5453e-002	-6,8001e-002	
682	1,6858	-2,6269e-002	-6,8001e-002	
683	1,6361	-2,7085e-002	-6,8001e-002	
684	1,5864	-2,7902e-002	-6,8001e-002	
685	1,5367	-2,8718e-002	-6,8001e-002	
686	1,487	-2,9534e-002	-6,8001e-002	
687	1,4373	-3,0351e-002	-6,8001e-002	
688	1,3876	-3,1167e-002	-6,8001e-002	
689	1,3379	-3,1983e-002	-6,8001e-002	
690	1,2882	-3,28e-002	-6,8001e-002	
691	1,2385	-3,3616e-002	-6,8001e-002	
692	1,1888	-3,4432e-002	-6,8001e-002	
693	1,1391	-3,5249e-002	-6,8001e-002	
694	1,0895	-3,6065e-002	-6,8001e-002	
695	1,0398	-3,6881e-002	-6,8001e-002	
696	0,99007	-3,7698e-002	-6,8001e-002	
697	0,94037	-3,8514e-002	-6,8001e-002	
698	0,89068	-3,933e-002	-6,8001e-002	
699	0,84099	-4,0147e-002	-6,8001e-002	
700	0,79129	-4,0963e-002	-6,8001e-002	
701	0,7416	-4,1779e-002	-6,8001e-002	
702	0,6919	-4,2596e-002	-6,8001e-002	
703	0,64221	-4,3412e-002	-6,8001e-002	
704	0,59252	-4,4228e-002	-6,8001e-002	
705	0,54282	-4,5045e-002	-6,8001e-002	
706	0,49313	-4,5861e-002	-6,8001e-002	
707	0,44343	-4,6677e-002	-6,8001e-002	
708	0,39374	-4,7494e-002	-6,8001e-002	
709	0,34405	-4,831e-002	-6,8001e-002	
710	0,29435	-4,9126e-002	-6,8001e-002	
711	0,24466	-4,9943e-002	-6,8001e-002	
1893	2,63	-7,9497e-003	-7,5715e-002	
1915	2,5553	9,9461e-002	-6,8001e-002	
1916	2,5056	0,10028	-6,8001e-002	
1917	2,4559	0,10109	-6,8001e-002	
1918	2,4062	0,10191	-6,8001e-002	
1919	2,3566	0,10273	-6,8001e-002	
1920	2,3069	0,10354	-6,8001e-002	
1921	2,2572	0,10436	-6,8001e-002	
1922	2,2075	0,10518	-6,8001e-002	
1923	2,1578	0,10599	-6,8001e-002	
1924	2,1081	0,10681	-6,8001e-002	
1925	2,0584	0,10762	-6,8001e-002	
1926	2,0087	0,10844	-6,8001e-002	
1927	1,959	0,10926	-6,8001e-002	
1928	1,9093	0,11007	-6,8001e-002	
