Node Number	X Location (m)	Y Location (m)	Z Location (m)	
4319	0,52339	0,335	-4,55e-002	
4320	0,51339	0,335	-4,55e-002	
4321	0,50339	0,335	-4,55e-002	
4322	0,49339	0,335	-4,55e-002	
4323	0,48339	0,335	-4,55e-002	
4324	0,47339	0,335	-4,55e-002	
4325	0,46339	0,335	-4,55e-002	
4326	0,45339	0,335	-4,55e-002	
4327	0,44339	0,335	-4,55e-002	
4328	0,43339	0,335	-4,55e-002	
4329	0,42339	0,335	-4,55e-002	
4330	0,41339	0,335	-4,55e-002	
4331	0,40339	0,335	-4,55e-002	
4332	0,39339	0,335	-4,55e-002	
4333	0,38339	0,335	-4,55e-002	
4334	0,37339	0,335	-4,55e-002	
4335	0,36339	0,335	-4,55e-002	
4336	0,35339	0,335	-4,55e-002	
4337	0,34339	0,335	-4,55e-002	
4338	0,33339	0,335	-4,55e-002	
4339	0,32339	0,335	-4,55e-002	
4340	0,31339	0,335	-4,55e-002	
4341	0,30339	0,335	-4,55e-002	
4342	0,29339	0,335	-4,55e-002	
4343	0,28339	0,335	-4,55e-002	
4344	0,27339	0,335	-4,55e-002	
4345	0,26339	0,335	-4,55e-002	
4346	0,25339	0,335	-4,55e-002	
4347	0,24339	0,335	-4,55e-002	
4348	0,23339	0,335	-4,55e-002	
4349	0,22339	0,335	-4,55e-002	
4350	0,21339	0,335	-4,55e-002	
4351	0,20339	0,335	-4,55e-002	
4352	0,19339	0,335	-4,55e-002	
4353	0,18339	0,335	-4,55e-002	
4354	0,17339	0,335	-4,55e-002	
4355	0,16339	0,335	-4,55e-002	
4356	0,15339	0,335	-4,55e-002	
4357	0,14339	0,335	-4,55e-002	
4358	0,13339	0,335	-4,55e-002	
4359	0,12339	0,335	-4,55e-002	
4360	0,11339	0,335	-4,55e-002	
4361	0,10339	0,335	-4,55e-002	
4362	9,3385e-002	0,335	-4,55e-002	
4363	8,3385e-002	0,335	-4,55e-002	
4364	7,3385e-002	0,335	-4,55e-002	
4365	6,3385e-002	0,335	-4,55e-002	
4366	5,3385e-002	0,335	-4,55e-002	
4367	4,3385e-002	0,335	-4,55e-002	
4368	3,3385e-002	0,335	-4,55e-002	
4369	2,3385e-002	0,335	-4,55e-002	
4370	1,3385e-002	0,335	-4,55e-002	
4371	3,3854e-003	0,335	-4,55e-002	
4372	-6,6146e-003	0,335	-4,55e-002	
4373	-1,6615e-002	0,335	-4,55e-002	
4374	-2,6615e-002	0,335	-4,55e-002	
4375	-3,6615e-002	0,335	-4,55e-002	
4376	-4,6615e-002	0,335	-4,55e-002	
4377	-5,6615e-002	0,335	-4,55e-002	
4378	-6,6615e-002	0,335	-4,55e-002	
4379	-7,6615e-002	0,335	-4,55e-002	
4380	-8,6615e-002	0,335	-4,55e-002	
4381	-9,6615e-002	0,335	-4,55e-002	
4382	-0,10661	0,335	-4,55e-002	
4383	-0,11661	0,335	-4,55e-002	
4384	-0,12661	0,335	-4,55e-002	
4385	-0,13661	0,335	-4,55e-002	
4386	-0,14661	0,335	-4,55e-002	
4387	-0,15661	0,335	-4,55e-002	
4388	-0,16661	0,335	-4,55e-002	
4389	-0,17661	0,335	-4,55e-002	
4390	-0,18661	0,335	-4,55e-002	
4391	-0,19661	0,335	-4,55e-002	
4392	-0,20661	0,335	-4,55e-002	
4393	-0,21661	0,335	-4,55e-002	
4394	-0,22661	0,335	-4,55e-002	
4395	-0,23661	0,335	-4,55e-002	
4396	-0,24661	0,335	-4,55e-002	
4397	-0,25661	0,335	-4,55e-002	
4398	-0,26661	0,335	-4,55e-002	
4399	-0,27661	0,335	-4,55e-002	
4400	-0,28661	0,335	-4,55e-002	
4401	-0,29661	0,335	-4,55e-002	
4402	-0,30661	0,335	-4,55e-002	
4403	-0,31661	0,335	-4,55e-002	
4404	-0,32661	0,335	-4,55e-002	
4405	-0,33661	0,335	-4,55e-002	
4406	-0,34661	0,335	-4,55e-002	
4407	-0,35661	0,335	-4,55e-002	
4408	-0,36661	0,335	-4,55e-002	
4409	-0,37661	0,335	-4,55e-002	
4410	-0,38661	0,335	-4,55e-002	
4411	-0,39661	0,335	-4,55e-002	
4412	-0,40661	0,335	-4,55e-002	
4413	-0,41661	0,335	-4,55e-002	
4414	1,8434	0,33924	-4,3743e-002	
4415	1,8434	0,335	-5,15e-002	
4416	1,8434	0,34348	-4,7985e-002	
4417	1,8434	0,335	4,55e-002	
4418	1,8434	0,33924	4,3743e-002	
4419	-0,42661	0,335	4,55e-002	
4420	1,8334	0,335	4,55e-002	
4421	1,8234	0,335	4,55e-002	
4422	1,8134	0,335	4,55e-002	
4423	1,8034	0,335	4,55e-002	
4424	1,7934	0,335	4,55e-002	
4425	1,7834	0,335	4,55e-002	
4426	1,7734	0,335	4,55e-002	
4427	1,7634	0,335	4,55e-002	
4428	1,7534	0,335	4,55e-002	
4429	1,7434	0,335	4,55e-002	
4430	1,7334	0,335	4,55e-002	
4431	1,7234	0,335	4,55e-002	
4432	1,7134	0,335	4,55e-002	
4433	1,7034	0,335	4,55e-002	
4434	1,6934	0,335	4,55e-002	
4435	1,6834	0,335	4,55e-002	
4436	1,6734	0,335	4,55e-002	
4437	1,6634	0,335	4,55e-002	
4438	1,6534	0,335	4,55e-002	
4439	1,6434	0,335	4,55e-002	
4440	1,6334	0,335	4,55e-002	
4441	1,6234	0,335	4,55e-002	
4442	1,6134	0,335	4,55e-002	
4443	1,6034	0,335	4,55e-002	
4444	1,5934	0,335	4,55e-002	
4445	1,5834	0,335	4,55e-002	
4446	1,5734	0,335	4,55e-002	
4447	1,5634	0,335	4,55e-002	
4448	1,5534	0,335	4,55e-002	
4449	1,5434	0,335	4,55e-002	
4450	1,5334	0,335	4,55e-002	
4451	1,5234	0,335	4,55e-002	
4452	1,5134	0,335	4,55e-002	
4453	1,5034	0,335	4,55e-002	
4454	1,4934	0,335	4,55e-002	
4455	1,4834	0,335	4,55e-002	
4456	1,4734	0,335	4,55e-002	
4457	1,4634	0,335	4,55e-002	
4458	1,4534	0,335	4,55e-002	
4459	1,4434	0,335	4,55e-002	
4460	1,4334	0,335	4,55e-002	
4461	1,4234	0,335	4,55e-002	
4462	1,4134	0,335	4,55e-002	
4463	1,4034	0,335	4,55e-002	
4464	1,3934	0,335	4,55e-002	
4465	1,3834	0,335	4,55e-002	
4466	1,3734	0,335	4,55e-002	
4467	1,3634	0,335	4,55e-002	
4468	1,3534	0,335	4,55e-002	
4469	1,3434	0,335	4,55e-002	
4470	1,3334	0,335	4,55e-002	
4471	1,3234	0,335	4,55e-002	
4472	1,3134	0,335	4,55e-002	
4473	1,3034	0,335	4,55e-002	
4474	1,2934	0,335	4,55e-002	
4475	1,2834	0,335	4,55e-002	
4476	1,2734	0,335	4,55e-002	
4477	1,2634	0,335	4,55e-002	
4478	1,2534	0,335	4,55e-002	
4479	1,2434	0,335	4,55e-002	
4480	1,2334	0,335	4,55e-002	
4481	1,2234	0,335	4,55e-002	
4482	1,2134	0,335	4,55e-002	
4483	1,2034	0,335	4,55e-002	
4484	1,1934	0,335	4,55e-002	
4485	1,1834	0,335	4,55e-002	
4486	1,1734	0,335	4,55e-002	
4487	1,1634	0,335	4,55e-002	
4488	1,1534	0,335	4,55e-002	
4489	1,1434	0,335	4,55e-002	
4490	1,1334	0,335	4,55e-002	
4491	1,1234	0,335	4,55e-002	
4492	1,1134	0,335	4,55e-002	
4493	1,1034	0,335	4,55e-002	
4494	1,0934	0,335	4,55e-002	
4495	1,0834	0,335	4,55e-002	
4496	1,0734	0,335	4,55e-002	
4497	1,0634	0,335	4,55e-002	
4498	1,0534	0,335	4,55e-002	
4499	1,0434	0,335	4,55e-002	
4500	1,0334	0,335	4,55e-002	
4501	1,0234	0,335	4,55e-002	
4502	1,0134	0,335	4,55e-002	
4503	1,0034	0,335	4,55e-002	
4504	0,99339	0,335	4,55e-002	
