Node Number	X Location (m)	Y Location (m)	Z Location (m)	
531	-0,10915	0,24265	-0,11564	
532	-0,11794	0,24043	-5,5e-002	
533	-0,11944	0,24043	-5,85e-002	
534	-0,1182	0,23589	-5,85e-002	
535	-0,11797	0,245	-5,85e-002	
536	-0,11849	0,24522	-5,85e-002	
537	-0,11849	0,23565	-5,85e-002	
538	-0,11944	0,24043	-6,175e-002	
539	-0,11704	0,24266	-6,1304e-002	
540	-0,11428	0,23832	-6,0178e-002	
541	-0,11725	0,23798	-6,1057e-002	
542	-7,0562e-002	0,24043	-5,85e-002	
543	-7,2033e-002	0,23586	-5,85e-002	
544	-7,1593e-002	0,24043	-5,675e-002	
545	-7,1805e-002	0,24498	-5,85e-002	
546	-7,1514e-002	0,24522	-5,85e-002	
547	-7,1514e-002	0,23565	-5,85e-002	
548	-7,4817e-002	0,24177	-5,8891e-002	
549	-7,3089e-002	0,24226	-6,2237e-002	
550	-7,264e-002	0,23856	-6,1872e-002	
551	-0,11122	0,22421	-5,5e-002	
552	-0,11228	0,22315	-5,85e-002	
553	-0,11228	0,22315	-6,5e-002	
554	-0,11447	0,22742	-5,85e-002	
555	-0,10812	0,22075	-5,85e-002	
556	-0,11499	0,22721	-5,85e-002	
557	-0,10822	0,22044	-5,85e-002	
558	-0,10651	0,22545	-6,1138e-002	
559	-0,11172	0,22654	-6,2287e-002	
560	-0,10891	0,22324	-6,2331e-002	
561	-0,11079	0,22988	-6,0178e-002	
562	-9,5e-002	0,21749	-5,5e-002	
563	-9,5e-002	0,21599	-5,85e-002	
564	-9,9545e-002	0,21724	-5,85e-002	
565	-9,0455e-002	0,21724	-5,85e-002	
566	-9,9784e-002	0,21695	-5,85e-002	
567	-9,0216e-002	0,21695	-5,85e-002	
568	-9,8064e-002	0,22196	-6,1138e-002	
569	-9,2862e-002	0,21941	-6,2475e-002	
570	-8,9992e-002	0,221	-6,0432e-002	
571	-9,7107e-002	0,2189	-6,2575e-002	
572	-7,8781e-002	0,22421	-5,5e-002	
573	-7,772e-002	0,22315	-5,85e-002	
574	-7,772e-002	0,22315	-6,5e-002	
575	-8,199e-002	0,22096	-5,85e-002	
576	-7,5313e-002	0,22731	-5,85e-002	
577	-8,1775e-002	0,22044	-5,85e-002	
578	-7,501e-002	0,22721	-5,85e-002	
579	-7,7847e-002	0,22654	-6,2627e-002	
580	-8,1551e-002	0,2245	-6,0432e-002	
581	-7,2531e-002	0,24043	-5,325e-002	
582	-7,3398e-002	0,23627	-5,15e-002	
583	-7,3398e-002	0,2446	-5,15e-002	
584	-8,3145e-002	0,24144	-5,15e-002	
585	-7,5755e-002	0,24177	-5,5391e-002	
586	-0,11533	0,23201	-5,15e-002	
587	-0,11533	0,24885	-5,15e-002	
588	-0,11752	0,23608	-5,5e-002	
589	-0,11752	0,24479	-5,5e-002	
590	-0,10514	0,24144	-5,15e-002	
591	-0,1161	0,24266	-5,7804e-002	
592	-0,11335	0,23832	-5,6678e-002	
593	-0,11135	0,24479	-5,5029e-002	
594	-0,10342	0,22011	-5,15e-002	
595	-0,11409	0,22771	-5,5e-002	
596	-0,10772	0,22134	-5,5e-002	
597	-0,10192	0,23366	-5,15e-002	
598	-0,10584	0,22612	-5,7638e-002	
599	-0,11012	0,23054	-5,6678e-002	
600	-8,6581e-002	0,22011	-5,15e-002	
601	-9,9356e-002	0,21791	-5,5e-002	
602	-9,0644e-002	0,21791	-5,5e-002	
603	-9,4145e-002	0,23044	-5,15e-002	
604	-9,8064e-002	0,22289	-5,7638e-002	
605	-8,9992e-002	0,22194	-5,6932e-002	
606	-8,228e-002	0,22134	-5,5e-002	
607	-7,5912e-002	0,22771	-5,5e-002	
608	-7,6684e-002	0,22824	-5,15e-002	
609	-8,6366e-002	0,23366	-5,15e-002	
610	-8,2214e-002	0,22516	-5,6932e-002	
611	-8,6581e-002	0,26076	-5,15e-002	
612	-7,8781e-002	0,25665	-5,5e-002	
613	-7,6684e-002	0,25262	-5,15e-002	
614	-7,5912e-002	0,25315	-5,5e-002	
615	-8,228e-002	0,25952	-5,5e-002	
616	-8,6366e-002	0,24922	-5,15e-002	
